,Gemeente,28/03/2020,27/03/2020,26/03/2020,25/03/2020,24/03/2020,23/03/2020,22/03/2020,21/03/2020,20/03/2020,19/03/2020,18/03/2020,17/03/2020,16/03/2020,15/03/2020,14/03/2020,13/03/2020,12/03/2020,11/03/2020,10/03/2020,09/03/2020,08/03/2020
88,Echt-Susteren,28.0,25.0,23.0,20.0,15.0,14.0,12.0,11.0,7.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,Edam-Volendam,14.0,14.0,10.0,9.0,7.0,6.0,5.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,Ede,46.0,37.0,33.0,26.0,22.0,21.0,16.0,13.0,9.0,5.0,5.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Eemnes,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Eersel,17.0,15.0,14.0,13.0,13.0,10.0,9.0,7.0,6.0,4.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
93,Eijsden-Margraten,43.0,32.0,26.0,20.0,15.0,7.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
94,Eindhoven,128.0,113.0,93.0,80.0,68.0,55.0,46.0,35.0,28.0,24.0,23.0,22.0,21.0,21.0,13.0,12.0,8.0,8.0,8.0,7.0,6.0
95,Elburg,11.0,9.0,6.0,5.0,4.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
96,Emmen,12.0,10.0,8.0,8.0,7.0,6.0,4.0,4.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
97,Enkhuizen,17.0,17.0,15.0,13.0,10.0,8.0,7.0,6.0,5.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
